year,region,country,type_of_crude,volume,total_value,cif_price,prop_of_total_imports
2019,FSU,Kazakhstan,Kazakhstan Crude,292236,18452405,63.14,0.0727
2019,FSU,Other FSU countries,Other FSU Crude,21909,1438688,65.67,0.0055000000000000005
2019,FSU,Russian Federation,Other Russian Fed. Crude,391041,24994646,63.92,0.0973
2019,FSU,Russian Federation,Urals,578878,36688385,63.38,0.14400000000000002
2019,FSU,Ukraine,Ukraine Crude,581,38698,66.62,1e-4
2019,Middle East,Iraq,Basrah Light,151686,9321935,61.46,0.0377
2019,Middle East,Iraq,Kirkuk,54928,3373090,61.41,0.0137
2019,Middle East,Iraq,Other Iraq Crude,127004,7715522,60.75,0.0316
2019,Middle East,Kuwait,Kuwait Blend,38515,2394222,62.16,0.0096
2019,Middle East,Saudi Arabia,Arab Light,208988,13374621,64,0.052000000000000005
2019,Middle East,Saudi Arabia,Arab Medium,3288,203024,61.75,8e-4
2019,Middle East,Saudi Arabia,Other Saudi Arabia Crude,7889,506672,64.22,0.002
2019,Middle East,Saudi Arabia,Arab Heavy,42905,2679988,62.46,0.010700000000000001
2019,Middle East,Saudi Arabia,Berri (Extra Light),24759,1631205,65.88,0.0062
2019,Middle East,Syria,Syria Light,107,6765,63.22,0
2019,Middle East,Yemen,Other Yemen Crude,1425,94339,66.19,4e-4
